Epoch,Train_Reg_Loss,Train_Class_Loss,Train_Total_Loss,Val_Reg_Loss,Val_Class_Loss,Val_Total_Loss,Learning_Rate
1,0.02692226,0.26646252,0.09878434,0.00102889,0.07094820,0.02200468,0.00000800
2,0.00497401,0.07882164,0.02712830,0.00075328,0.06164624,0.01902117,0.00001600
3,0.00157045,0.06592018,0.02087537,0.00048074,0.06048029,0.01848060,0.00002400
4,0.00081357,0.06430481,0.01986094,0.00050853,0.05946010,0.01819400,0.00003200
5,0.00062720,0.06379583,0.01957779,0.00048014,0.05941838,0.01816162,0.00004000
6,0.00057856,0.06356203,0.01947360,0.00049921,0.05921677,0.01811448,0.00004800
7,0.00054210,0.06361766,0.01946477,0.00051135,0.06022077,0.01842418,0.00005600
8,0.00053314,0.06369084,0.01948045,0.00046777,0.05964131,0.01821983,0.00006400
9,0.00051647,0.06358113,0.01943587,0.00045925,0.05944691,0.01815555,0.00007200
10,0.00051744,0.06338980,0.01937915,0.00048695,0.05924694,0.01811495,0.00008000
11,0.00051438,0.06320774,0.01932239,0.00045534,0.05916261,0.01806752,0.00008000
12,0.00050594,0.06308798,0.01928055,0.00046125,0.05899773,0.01802220,0.00007998
13,0.00050058,0.06295972,0.01923832,0.00045560,0.05894153,0.01800138,0.00007993
14,0.00049700,0.06287815,0.01921134,0.00044799,0.05905712,0.01803073,0.00007985
15,0.00049146,0.06283884,0.01919567,0.00044694,0.05906553,0.01803252,0.00007974
16,0.00048663,0.06279548,0.01917929,0.00044513,0.05909529,0.01804018,0.00007959
17,0.00048576,0.06278699,0.01917613,0.00044501,0.05914551,0.01805516,0.00007941
18,0.00047829,0.06276217,0.01916345,0.00048707,0.05892902,0.01801966,0.00007920
19,0.00047900,0.06276449,0.01916465,0.00044152,0.05943914,0.01814081,0.00007896
20,0.00047290,0.06278841,0.01916755,0.00044090,0.05883667,0.01795963,0.00007869
21,0.00047468,0.06276334,0.01916128,0.00043379,0.05890585,0.01797541,0.00007838
22,0.00047370,0.06267929,0.01913538,0.00045197,0.05892032,0.01799248,0.00007804
23,0.00047408,0.06269731,0.01914105,0.00043301,0.05906010,0.01802114,0.00007767
24,0.00046855,0.06266113,0.01912632,0.00046137,0.05886008,0.01798098,0.00007727
25,0.00047055,0.06266074,0.01912761,0.00048319,0.05894938,0.01802305,0.00007684
26,0.00046547,0.06263062,0.01911501,0.00044900,0.05886605,0.01797411,0.00007639
27,0.00046615,0.06261830,0.01911180,0.00043257,0.05893000,0.01798180,0.00007590
28,0.00046447,0.06260010,0.01910516,0.00049559,0.05889684,0.01801597,0.00007538
29,0.00046421,0.06260976,0.01910787,0.00047262,0.05886486,0.01799030,0.00007483
30,0.00046356,0.06258054,0.01909865,0.00043771,0.05881930,0.01795219,0.00007425
31,0.00046227,0.06259740,0.01910281,0.00043360,0.05891862,0.01797911,0.00007365
32,0.00046225,0.06258592,0.01909935,0.00043934,0.05890316,0.01797849,0.00007302
33,0.00045990,0.06256539,0.01909155,0.00044299,0.05886023,0.01796816,0.00007236
34,0.00046000,0.06254932,0.01908680,0.00044361,0.05886473,0.01796995,0.00007168
35,0.00045362,0.06255257,0.01908331,0.00045151,0.05896289,0.01800492,0.00007097
36,0.00045744,0.06255007,0.01908523,0.00045671,0.05881231,0.01796339,0.00007023
37,0.00045755,0.06254164,0.01908278,0.00048098,0.05882911,0.01798542,0.00006947
38,0.00045558,0.06252359,0.01907599,0.00044095,0.05882650,0.01795661,0.00006869
39,0.00045524,0.06251814,0.01907411,0.00045392,0.05874528,0.01794133,0.00006788
40,0.00045234,0.06249489,0.01906510,0.00046294,0.05871093,0.01793734,0.00006705
41,0.00045497,0.06248530,0.01906407,0.00044638,0.05882481,0.01795991,0.00006619
42,0.00045302,0.06248641,0.01906304,0.00043349,0.05873380,0.01792359,0.00006532
43,0.00045127,0.06247593,0.01905867,0.00043709,0.05877372,0.01793808,0.00006443
44,0.00044974,0.06245811,0.01905225,0.00043158,0.05877296,0.01793400,0.00006351
45,0.00045139,0.06248498,0.01906147,0.00044483,0.05877185,0.01794294,0.00006258
46,0.00045179,0.06246084,0.01905450,0.00043190,0.05876215,0.01793098,0.00006163
47,0.00044966,0.06245216,0.01905041,0.00043996,0.05873775,0.01792930,0.00006066
48,0.00044957,0.06243999,0.01904670,0.00044079,0.05880232,0.01794925,0.00005967
49,0.00044740,0.06244336,0.01904619,0.00043048,0.05878071,0.01793555,0.00005867
